what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.bugzilla.ui",1260930345782
started,bundle,org.eclipse.mylyn.context.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.context.ui",1260930345954
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.tasks.ui",1260930346048
started,bundle,org.eclipse.mylyn.team.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.team.ui",1260930346110
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1260930346531
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1260930346609
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1260930346687
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1260930347249
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1260930347264
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1260930347280
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260930421396
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260930502672
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1260930502672
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1260930502672
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260930510050
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260930526805
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260930532343
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1260930578675
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1260930578706
error,log,,,"Internal Error",1260930681947
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260930694754
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260930697859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260930699700
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260930699762
